cond;etac;lg;catpri18;COUNT;PERCENT;DURM;MX;MN;SD
1;2;04;3.8.3;19;2.47074122236671;00:44:44.215000;01:59:59.997000;00:09:59.996000;00:37:10.416000
1;2;04;5.1.1;16;2.0806241872561766;00:22:30;01:39:59.996000;00:09:59.996000;00:22:56.957000
1;2;04;3.6.2;15;1.950585175552666;00:17:19.997000;01:20:00.004000;00:09:59.996000;00:18:41.731000
1;2;04;3.2.1;10;1.3003901170351109;00:24:59.999000;01:20:00.004000;00:09:59.996000;00:23:41.271000
1;2;04;3.1.2;8;1.0403120936280883;00:15:00.003000;00:20:00.001000;00:09:59.996000;00:05:20.717000
1;2;04;8.1.2;8;1.0403120936280883;00:47:29.999000;01:39:59.996000;00:09:59.996000;00:31:30.579000
1;2;04;5.1.5;6;0.7802340702210664;00:09:59.996000;00:09:59.996000;00:09:59.996000;00:00:00
1;2;04;8.1.1;6;0.7802340702210664;00:20:00.001000;00:40:00.002000;00:09:59.996000;00:12:38.946000
1;2;04;0.3.9;5;0.6501950585175553;00:29:59.997000;00:49:59.998000;00:09:59.996000;00:15:48.681000
1;2;04;5.1.4;5;0.6501950585175553;00:24:00.003000;00:40:00.002000;00:09:59.996000;00:11:24.107000
1;2;04;7.2.2;5;0.6501950585175553;00:33:59.999000;00:49:59.998000;00:29:59.997000;00:08:56.656000
1;2;04;8.1.9;5;0.6501950585175553;00:51:59.999000;01:50:00.001000;00:09:59.996000;00:40:14.949000
1;2;04;3.9.1;3;0.3901170351105332;00:09:59.996000;00:09:59.996000;00:09:59.996000;00:00:00
1;2;04;3.2.3;2;0.2600780234070222;00:20:00.001000;00:29:59.997000;00:09:59.996000;00:14:08.526000
1;2;04;5.1.3;2;0.2600780234070222;01:09:59.999000;01:39:59.996000;00:40:00.002000;00:42:25.586000
1;2;04;7.2.9;2;0.2600780234070222;00:40:00.002000;00:49:59.998000;00:29:59.997000;00:14:08.526000
1;2;04;7.3.2;2;0.2600780234070222;01:00:00.003000;01:00:00.003000;01:00:00.003000;00:00:00
1;2;05;1.1.1;6247;78.44048216976394;02:33:58.294000;15:09:59.996000;00:09:59.996000;01:58:17.509000
1;2;05;0.2.1;931;11.69010547463586;00:37:11.150000;05:10:00.002000;00:09:59.996000;00:25:15.119000
1;2;05;1.2.9;302;3.7920642893018583;00:14:10.332000;02:50:00.004000;00:09:59.996000;00:14:52.115000
1;2;05;0.3.1;92;1.1551983927674536;00:14:20.872000;01:20:00.004000;00:09:59.996000;00:10:05.284000
1;2;05;0.1.1;73;0.916624811652436;02:57:32.057000;06:20:00.001000;00:09:59.996000;01:45:19.633000
1;2;05;5.3.1;64;0.803616273229533;00:36:43.122000;03:00:00;00:09:59.996000;00:35:19.444000
1;2;05;5.1.9;50;0.6278252134605725;00:28:23.998000;02:10:00.002000;00:09:59.996000;00:25:25.427000
1;2;05;3.1.1;38;0.4771471622300352;00:25:15.793000;02:19:59.998000;00:09:59.996000;00:24:27.953000
1;2;05;8.2.1;32;0.4018081366147665;00:42:48.750000;01:59:59.997000;00:09:59.996000;00:29:19.113000
1;2;05;5.1.4;27;0.3390256152687092;00:21:28.889000;01:39:59.996000;00:09:59.996000;00:18:57.249000
1;2;05;3.1.2;14;0.1757910597689603;00:17:08.575000;00:40:00.002000;00:09:59.996000;00:08:15.253000
1;2;05;3.2.1;13;0.16323455549974886;00:23:04.612000;01:09:59.999000;00:09:59.996000;00:18:52.730000
1;2;05;7.2.2;12;0.1506780512305374;00:20:50.001000;00:49:59.998000;00:09:59.996000;00:12:24.068000
1;2;05;8.1.1;12;0.1506780512305374;00:19:10.001000;01:00:00.003000;00:09:59.996000;00:17:48.984000
1;2;05;5.1.5;10;0.12556504269211452;00:42:00.003000;01:59:59.997000;00:09:59.996000;00:40:13.299000
1;2;05;3.2.4;8;0.10045203415369162;00:20:00.001000;00:49:59.998000;00:09:59.996000;00:13:05.583000
1;2;05;8.1.2;5;0.06278252134605726;00:33:59.999000;00:49:59.998000;00:09:59.996000;00:15:09.948000
1;2;05;8.3.1;5;0.06278252134605726;00:26:00.004000;01:20:00.004000;00:09:59.996000;00:30:29.753000
1;2;05;8.1.9;3;0.03766951280763435;00:56:40.004000;01:00:00.003000;00:49:59.998000;00:05:46.412000
1;2;05;0.3.9;2;0.025113008538422903;00:09:59.996000;00:09:59.996000;00:09:59.996000;00:00:00
1;2;05;2.2.1;2;0.025113008538422903;01:54:59.999000;02:39:59.999000;01:09:59.999000;01:03:38.379000
